#locusName	Id	IdType	description if any, GO is via pfam2go/interpro
Sphfalx0002s0444	PF00226	PFAM	DnaJ domain
Sphfalx0002s0444	PF01556	PFAM	DnaJ C terminal domain
Sphfalx0019s0061	PF00226	PFAM	DnaJ domain
Sphfalx0125s0039	PF09337	PFAM	H2C2 zinc finger
Sphfalx0125s0039	PF00098	PFAM	Zinc knuckle
Sphfalx0125s0039	PF13650	PFAM	Aspartyl protease
Sphfalx0125s0039	PF03732	PFAM	Retrotransposon gag protein 
Sphfalx0125s0039	PF00078	PFAM	Reverse transcriptase (RNA-dependent DNA polymerase)
Sphfalx0325s0003	PF05057	PFAM	Putative serine esterase (DUF676)
Sphfalx0065s0103	PF00035	PFAM	Double-stranded RNA binding motif
Sphfalx0065s0050	PF04083	PFAM	Partial alpha/beta-hydrolase lipase region
Sphfalx0091s0032	PF00926	PFAM	3,4-dihydroxy-2-butanone 4-phosphate synthase
Sphfalx0220s0025	PF00153	PFAM	Mitochondrial carrier protein
Sphfalx0044s0120	PF13423	PFAM	Ubiquitin carboxyl-terminal hydrolase
Sphfalx0007s0146	PF03195	PFAM	Lateral organ boundaries (LOB) domain
Sphfalx0005s0128	PF16543	PFAM	DRG Family Regulatory Proteins, Tma46
Sphfalx0007s0103	PF00067	PFAM	Cytochrome P450
Sphfalx0132s0004	PF00248	PFAM	Aldo/keto reductase family
Sphfalx0013s0146	PF00190	PFAM	Cupin
Sphfalx0100s0056	PF00046	PFAM	Homeodomain
Sphfalx0100s0056	PF00628	PFAM	PHD-finger
Sphfalx0037s0063	PF01237	PFAM	Oxysterol-binding protein 
Sphfalx0071s0051	PF13371	PFAM	Tetratricopeptide repeat
Sphfalx0071s0051	PF13414	PFAM	TPR repeat
Sphfalx0037s0013	PF16686	PFAM	ssDNA-binding domain of telomere protection protein
Sphfalx0037s0013	PF02765	PFAM	Telomeric single stranded DNA binding POT1/CDC13
Sphfalx0154s0047	PF08246	PFAM	Cathepsin propeptide inhibitor domain (I29)
Sphfalx0154s0047	PF00112	PFAM	Papain family cysteine protease
Sphfalx0048s0110	PF12143	PFAM	Protein of unknown function (DUF_B2219)
Sphfalx0048s0110	PF12142	PFAM	Polyphenol oxidase middle domain
Sphfalx0048s0110	PF00264	PFAM	Common central domain of tyrosinase
Sphfalx0149s0058	PF00828	PFAM	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
Sphfalx0004s0163	PF13812	PFAM	Pentatricopeptide repeat domain
Sphfalx0004s0163	PF01535	PFAM	PPR repeat
Sphfalx0004s0163	PF13041	PFAM	PPR repeat family 
Sphfalx0000s0586	PF07724	PFAM	AAA domain (Cdc48 subfamily)
Sphfalx0072s0005	PF04437	PFAM	RINT-1 / TIP-1 family
Sphfalx0438s0006	PF04981	PFAM	NMD3 family 
Sphfalx0010s0269	PF13920	PFAM	Zinc finger, C3HC4 type (RING finger)
Sphfalx0338s0006	PF00069	PFAM	Protein kinase domain
Sphfalx0006s0260	PF00400	PFAM	WD domain, G-beta repeat
Sphfalx0006s0260	PF13925	PFAM	con80 domain of Katanin
Sphfalx0067s0109	PF12796	PFAM	Ankyrin repeats (3 copies)
Sphfalx0067s0109	PF00887	PFAM	Acyl CoA binding protein
Sphfalx0055s0051	PF01916	PFAM	Deoxyhypusine synthase
Sphfalx0069s0042	PF01490	PFAM	Transmembrane amino acid transporter protein
Sphfalx0304s0003	PF09337	PFAM	H2C2 zinc finger
Sphfalx0304s0003	PF00665	PFAM	Integrase core domain
Sphfalx0304s0003	PF00078	PFAM	Reverse transcriptase (RNA-dependent DNA polymerase)
Sphfalx0158s0003	PF13874	PFAM	Nucleoporin complex subunit 54
Sphfalx0017s0084	PF12171	PFAM	Zinc-finger double-stranded RNA-binding
Sphfalx0290s0004	PF03096	PFAM	Ndr family
Sphfalx0088s0028	PF12681	PFAM	Glyoxalase-like domain
Sphfalx0002s0176	PF00141	PFAM	Peroxidase
Sphfalx0010s0022	PF00484	PFAM	Carbonic anhydrase
Sphfalx0098s0017	PF00494	PFAM	Squalene/phytoene synthase
Sphfalx0281s0011	PF04043	PFAM	Plant invertase/pectin methylesterase inhibitor
Sphfalx0281s0011	PF01095	PFAM	Pectinesterase
Sphfalx0062s0020	PF00291	PFAM	Pyridoxal-phosphate dependent enzyme
Sphfalx0056s0034	PF06027	PFAM	Solute carrier family 35
Sphfalx0009s0013	PF01494	PFAM	FAD binding domain
Sphfalx0190s0017	PF02176	PFAM	TRAF-type zinc finger
Sphfalx0040s0158	PF00076	PFAM	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)
Sphfalx0000s0270	PF02358	PFAM	Trehalose-phosphatase
Sphfalx0000s0270	PF00982	PFAM	Glycosyltransferase family 20
Sphfalx0311s0003	PF00155	PFAM	Aminotransferase class I and II
Sphfalx0189s0025	PF02458	PFAM	Transferase family
Sphfalx0154s0049	PF00141	PFAM	Peroxidase
